13	24/04/2020	NEG
22	27/04/2020	NEG
40	28/04/2020	NEG
26	04/05/2020	NEG
21	05/05/2020	NEG
12	06/05/2020	NEG
12	07/05/2020	NEG
32	11/05/2020	NEG
24	12/05/2020	NEG
18	13/05/2020	NEG
4	14/05/2020	NEG
11	15/05/2020	NEG
15	18/05/2020	NEG
13	19/05/2020	NEG
12	20/05/2020	NEG
15	21/05/2020	NEG
1	22/05/2020	NEG
34	25/05/2020	NEG
23	26/05/2020	NEG
9	27/05/2020	NEG
17	28/05/2020	NEG
34	29/05/2020	NEG
17	01/06/2020	NEG
3	02/06/2020	NEG
24	03/06/2020	NEG
28	04/06/2020	NEG
41	05/06/2020	NEG
17	08/06/2020	NEG
5	09/06/2020	NEG
9	10/06/2020	NEG
7	11/06/2020	NEG
9	12/06/2020	NEG
8	15/06/2020	NEG
7	16/06/2020	NEG
1	17/06/2020	NEG
1	18/06/2020	NEG
5	19/06/2020	NEG
14	22/06/2020	NEG
1	23/06/2020	NEG
17	24/06/2020	NEG
3	25/06/2020	NEG
6	26/06/2020	NEG
12	29/06/2020	NEG
2	30/06/2020	NEG
3	01/07/2020	NEG
2	02/07/2020	NEG
4	03/07/2020	NEG
1	07/07/2020	NEG
7	08/07/2020	NEG
3	10/07/2020	NEG
6	13/07/2020	NEG
8	15/07/2020	NEG
8	17/07/2020	NEG
8	20/07/2020	NEG
11	22/07/2020	NEG
13	23/07/2020	NEG
60	24/07/2020	NEG
48	27/07/2020	NEG
17	28/07/2020	NEG
14	29/07/2020	NEG
1	30/07/2020	NEG
82	31/07/2020	NEG
81	03/08/2020	NEG
5	04/08/2020	NEG
35	05/08/2020	NEG
22	06/08/2020	NEG
72	07/08/2020	NEG
32	10/08/2020	NEG
10	11/08/2020	NEG
19	12/08/2020	NEG
16	13/08/2020	NEG
64	14/08/2020	NEG
48	17/08/2020	NEG
29	18/08/2020	NEG
20	19/08/2020	NEG
9	20/08/2020	NEG
77	21/08/2020	NEG
26	24/08/2020	NEG
1	25/08/2020	NEG
61	26/08/2020	NEG
17	27/08/2020	NEG
38	28/08/2020	NEG
39	31/08/2020	NEG
19	01/09/2020	NEG
21	02/09/2020	NEG
28	03/09/2020	NEG
60	04/09/2020	NEG
49	07/09/2020	NEG
26	08/09/2020	NEG
84	09/09/2020	NEG
75	10/09/2020	NEG
101	11/09/2020	NEG
7	14/09/2020	NEG
110	15/09/2020	NEG
73	16/09/2020	NEG
122	17/09/2020	NEG
66	18/09/2020	NEG
83	21/09/2020	NEG
53	22/09/2020	NEG
59	23/09/2020	NEG
58	24/09/2020	NEG
75	25/09/2020	NEG
88	29/09/2020	NEG
89	30/09/2020	NEG
93	01/10/2020	NEG
92	02/10/2020	NEG
84	05/10/2020	NEG
102	06/10/2020	NEG
76	07/10/2020	NEG
121	08/10/2020	NEG
131	09/10/2020	NEG
118	12/10/2020	NEG
114	13/10/2020	NEG
148	14/10/2020	NEG
105	15/10/2020	NEG
174	16/10/2020	NEG
1	18/10/2020	NEG
158	19/10/2020	NEG
181	20/10/2020	NEG
148	21/10/2020	NEG
165	22/10/2020	NEG
95	23/10/2020	NEG
154	26/10/2020	NEG
136	27/10/2020	NEG
59	28/10/2020	NEG
142	29/10/2020	NEG
189	30/10/2020	NEG
181	02/11/2020	NEG
190	03/11/2020	NEG
154	04/11/2020	NEG
134	05/11/2020	NEG
161	06/11/2020	NEG
140	09/11/2020	NEG
112	10/11/2020	NEG
134	11/11/2020	NEG
116	12/11/2020	NEG
86	13/11/2020	NEG
119	16/11/2020	NEG
104	18/11/2020	NEG
46	19/11/2020	NEG
66	20/11/2020	NEG
87	23/11/2020	NEG
71	24/11/2020	NEG
58	25/11/2020	NEG
69	26/11/2020	NEG
71	27/11/2020	NEG
98	30/11/2020	NEG
53	01/12/2020	NEG
51	02/12/2020	NEG
33	03/12/2020	NEG
52	04/12/2020	NEG
73	07/12/2020	NEG
82	08/12/2020	NEG
55	09/12/2020	NEG
40	10/12/2020	NEG
75	11/12/2020	NEG
90	14/12/2020	NEG
81	15/12/2020	NEG
59	16/12/2020	NEG
73	17/12/2020	NEG
93	18/12/2020	NEG
116	21/12/2020	NEG
82	22/12/2020	NEG
35	23/12/2020	NEG
107	28/12/2020	NEG
102	29/12/2020	NEG
1	30/12/2020	NEG
