1	22/04/2020	POZ
3	23/04/2020	POZ
1	24/04/2020	POZ
13	24/04/2020	NEG
22	27/04/2020	NEG
2	28/04/2020	POZ
40	28/04/2020	NEG
26	04/05/2020	NEG
3	04/05/2020	POZ
2	05/05/2020	POZ
21	05/05/2020	NEG
1	06/05/2020	POZ
12	06/05/2020	NEG
12	07/05/2020	NEG
2	07/05/2020	POZ
32	11/05/2020	NEG
24	12/05/2020	NEG
18	13/05/2020	NEG
2	13/05/2020	POZ
4	14/05/2020	NEG
11	15/05/2020	NEG
1	15/05/2020	POZ
15	18/05/2020	NEG
13	19/05/2020	NEG
12	20/05/2020	NEG
15	21/05/2020	NEG
1	22/05/2020	NEG
2	25/05/2020	POZ
34	25/05/2020	NEG
1	26/05/2020	POZ
23	26/05/2020	NEG
1	27/05/2020	POZ
9	27/05/2020	NEG
17	28/05/2020	NEG
5	28/05/2020	POZ
2	29/05/2020	POZ
34	29/05/2020	NEG
1	01/06/2020	POZ
17	01/06/2020	NEG
3	02/06/2020	NEG
24	03/06/2020	NEG
28	04/06/2020	NEG
41	05/06/2020	NEG
17	08/06/2020	NEG
5	09/06/2020	NEG
1	10/06/2020	POZ
9	10/06/2020	NEG
7	11/06/2020	NEG
2	12/06/2020	POZ
9	12/06/2020	NEG
6	15/06/2020	POZ
8	15/06/2020	NEG
7	16/06/2020	NEG
1	17/06/2020	NEG
5	17/06/2020	POZ
1	18/06/2020	NEG
5	19/06/2020	NEG
14	22/06/2020	NEG
3	22/06/2020	POZ
1	23/06/2020	NEG
17	24/06/2020	NEG
3	25/06/2020	NEG
1	26/06/2020	POZ
6	26/06/2020	NEG
12	29/06/2020	NEG
2	30/06/2020	NEG
3	01/07/2020	NEG
2	02/07/2020	NEG
4	03/07/2020	NEG
1	07/07/2020	NEG
7	08/07/2020	NEG
3	10/07/2020	NEG
6	13/07/2020	NEG
8	15/07/2020	NEG
8	17/07/2020	NEG
8	20/07/2020	NEG
11	22/07/2020	NEG
2	22/07/2020	POZ
13	23/07/2020	NEG
2	23/07/2020	POZ
4	24/07/2020	POZ
60	24/07/2020	NEG
2	27/07/2020	POZ
48	27/07/2020	NEG
17	28/07/2020	NEG
1	29/07/2020	POZ
14	29/07/2020	NEG
1	30/07/2020	NEG
2	31/07/2020	POZ
82	31/07/2020	NEG
5	03/08/2020	POZ
81	03/08/2020	NEG
5	04/08/2020	NEG
1	05/08/2020	POZ
35	05/08/2020	NEG
22	06/08/2020	NEG
5	06/08/2020	POZ
2	07/08/2020	POZ
72	07/08/2020	NEG
2	10/08/2020	POZ
32	10/08/2020	NEG
10	11/08/2020	NEG
2	11/08/2020	POZ
19	12/08/2020	NEG
2	12/08/2020	POZ
16	13/08/2020	NEG
2	13/08/2020	POZ
4	14/08/2020	POZ
64	14/08/2020	NEG
48	17/08/2020	NEG
29	18/08/2020	NEG
3	18/08/2020	POZ
1	19/08/2020	POZ
20	19/08/2020	NEG
4	20/08/2020	POZ
9	20/08/2020	NEG
1	21/08/2020	POZ
77	21/08/2020	NEG
2	24/08/2020	POZ
26	24/08/2020	NEG
1	25/08/2020	NEG
1	26/08/2020	POZ
61	26/08/2020	NEG
1	27/08/2020	POZ
17	27/08/2020	NEG
2	28/08/2020	POZ
38	28/08/2020	NEG
39	31/08/2020	NEG
5	31/08/2020	POZ
19	01/09/2020	NEG
2	01/09/2020	POZ
21	02/09/2020	NEG
1	03/09/2020	POZ
28	03/09/2020	NEG
1	04/09/2020	POZ
60	04/09/2020	NEG
11	07/09/2020	POZ
49	07/09/2020	NEG
2	08/09/2020	POZ
26	08/09/2020	NEG
15	09/09/2020	POZ
84	09/09/2020	NEG
5	10/09/2020	POZ
75	10/09/2020	NEG
101	11/09/2020	NEG
13	11/09/2020	POZ
16	14/09/2020	POZ
7	14/09/2020	NEG
110	15/09/2020	NEG
31	15/09/2020	POZ
73	16/09/2020	NEG
9	16/09/2020	POZ
122	17/09/2020	NEG
14	17/09/2020	POZ
6	18/09/2020	POZ
66	18/09/2020	NEG
12	21/09/2020	POZ
83	21/09/2020	NEG
53	22/09/2020	NEG
7	22/09/2020	POZ
31	23/09/2020	POZ
59	23/09/2020	NEG
33	24/09/2020	POZ
58	24/09/2020	NEG
22	25/09/2020	POZ
75	25/09/2020	NEG
30	29/09/2020	POZ
88	29/09/2020	NEG
35	30/09/2020	POZ
89	30/09/2020	NEG
7	01/10/2020	POZ
93	01/10/2020	NEG
33	02/10/2020	POZ
92	02/10/2020	NEG
49	05/10/2020	POZ
84	05/10/2020	NEG
102	06/10/2020	NEG
40	06/10/2020	POZ
47	07/10/2020	POZ
76	07/10/2020	NEG
121	08/10/2020	NEG
56	08/10/2020	POZ
131	09/10/2020	NEG
66	09/10/2020	POZ
118	12/10/2020	NEG
61	12/10/2020	POZ
114	13/10/2020	NEG
79	13/10/2020	POZ
148	14/10/2020	NEG
67	14/10/2020	POZ
105	15/10/2020	NEG
63	15/10/2020	POZ
174	16/10/2020	NEG
77	16/10/2020	POZ
1	18/10/2020	NEG
102	19/10/2020	POZ
158	19/10/2020	NEG
100	20/10/2020	POZ
181	20/10/2020	NEG
107	21/10/2020	POZ
148	21/10/2020	NEG
165	22/10/2020	NEG
98	22/10/2020	POZ
33	23/10/2020	POZ
95	23/10/2020	NEG
101	26/10/2020	POZ
154	26/10/2020	NEG
136	27/10/2020	NEG
80	27/10/2020	POZ
24	28/10/2020	POZ
59	28/10/2020	NEG
142	29/10/2020	NEG
95	29/10/2020	POZ
189	30/10/2020	NEG
68	30/10/2020	POZ
1	01/11/2020	POZ
181	02/11/2020	NEG
75	02/11/2020	POZ
190	03/11/2020	NEG
73	03/11/2020	POZ
154	04/11/2020	NEG
98	04/11/2020	POZ
134	05/11/2020	NEG
99	05/11/2020	POZ
106	06/11/2020	POZ
161	06/11/2020	NEG
140	09/11/2020	NEG
68	09/11/2020	POZ
112	10/11/2020	NEG
69	10/11/2020	POZ
134	11/11/2020	NEG
59	11/11/2020	POZ
116	12/11/2020	NEG
59	12/11/2020	POZ
47	13/11/2020	POZ
86	13/11/2020	NEG
119	16/11/2020	NEG
74	16/11/2020	POZ
104	18/11/2020	NEG
62	18/11/2020	POZ
44	19/11/2020	POZ
46	19/11/2020	NEG
41	20/11/2020	POZ
66	20/11/2020	NEG
44	23/11/2020	POZ
87	23/11/2020	NEG
30	24/11/2020	POZ
71	24/11/2020	NEG
13	25/11/2020	POZ
58	25/11/2020	NEG
20	26/11/2020	POZ
69	26/11/2020	NEG
23	27/11/2020	POZ
71	27/11/2020	NEG
17	30/11/2020	POZ
98	30/11/2020	NEG
40	01/12/2020	POZ
53	01/12/2020	NEG
20	02/12/2020	POZ
51	02/12/2020	NEG
21	03/12/2020	POZ
33	03/12/2020	NEG
18	04/12/2020	POZ
52	04/12/2020	NEG
38	07/12/2020	POZ
73	07/12/2020	NEG
33	08/12/2020	POZ
82	08/12/2020	NEG
22	09/12/2020	POZ
55	09/12/2020	NEG
26	10/12/2020	POZ
40	10/12/2020	NEG
33	11/12/2020	POZ
75	11/12/2020	NEG
35	14/12/2020	POZ
90	14/12/2020	NEG
55	15/12/2020	POZ
81	15/12/2020	NEG
52	16/12/2020	POZ
59	16/12/2020	NEG
45	17/12/2020	POZ
73	17/12/2020	NEG
48	18/12/2020	POZ
93	18/12/2020	NEG
1	19/12/2020	POZ
116	21/12/2020	NEG
57	21/12/2020	POZ
55	22/12/2020	POZ
82	22/12/2020	NEG
35	23/12/2020	NEG
36	23/12/2020	POZ
107	28/12/2020	NEG
52	28/12/2020	POZ
102	29/12/2020	NEG
45	29/12/2020	POZ
1	30/12/2020	NEG
